geo_code1,geo_code2,all,bicycle,foot,car_driver,car_passenger,motorbike,bus
E02002239,E02002239,552,7,245,210,59,4,11
E02002239,E02002271,30,2,4,22,2,0,0
E02002239,E02002272,25,0,0,22,1,0,2
E02002239,E02002276,3,0,0,3,0,0,0
E02002239,E02002277,5,0,1,3,0,0,0
E02002239,E02002336,17,0,0,14,1,1,1
E02002239,E02002341,1,0,0,0,1,0,0
E02002239,E02002343,5,0,0,5,0,0,0
E02002239,E02002346,1,0,0,1,0,0,0
E02002239,E02002347,3,0,0,3,0,0,0
E02002239,E02002348,5,0,0,5,0,0,0
E02002239,E02002350,1,0,0,1,0,0,0
E02002239,E02002354,4,0,0,4,0,0,0
E02002239,E02002356,12,0,0,10,0,1,1
E02002239,E02002357,6,0,0,5,0,0,0
E02002239,E02002359,1,0,0,1,0,0,0
E02002239,E02002362,1,0,0,1,0,0,0
E02002239,E02002363,1,0,0,0,0,0,0
E02002239,E02002364,6,1,0,5,0,0,0
E02002239,E02002366,3,0,0,3,0,0,0
E02002239,E02002367,1,0,0,1,0,0,0
E02002239,E02002368,5,0,0,5,0,0,0
E02002239,E02002371,7,0,0,6,0,0,0
E02002239,E02002373,6,0,0,5,0,1,0
E02002239,E02002375,1,0,0,1,0,0,0
E02002239,E02002376,1,0,0,1,0,0,0
E02002239,E02002380,3,0,0,3,0,0,0
E02002239,E02002381,4,0,0,4,0,0,0
E02002239,E02002383,1,0,0,0,0,0,1
E02002239,E02002384,12,0,0,11,0,1,0
E02002239,E02002385,4,0,0,4,0,0,0
E02002239,E02002386,4,0,0,2,0,0,0
E02002239,E02002387,8,0,0,8,0,0,0
E02002239,E02002388,2,0,0,2,0,0,0
E02002239,E02002390,3,0,0,3,0,0,0
E02002239,E02002391,25,1,0,18,3,0,2
E02002239,E02002392,27,0,0,19,3,0,5
E02002239,E02002393,14,0,0,10,1,0,2
E02002239,E02002394,2,0,0,2,0,0,0
E02002239,E02002395,31,0,0,23,2,1,5
E02002239,E02002396,7,0,0,6,0,0,1
E02002239,E02002397,4,0,0,4,0,0,0
E02002239,E02002399,6,0,0,5,1,0,0
E02002239,E02002400,43,0,1,33,5,0,2
E02002239,E02002402,4,0,0,4,0,0,0
E02002239,E02002403,3,0,0,3,0,0,0
E02002239,E02002404,6,0,0,3,2,1,0
E02002239,E02002405,12,0,2,6,2,0,0
E02002239,E02002407,3,0,0,3,0,0,0
E02002239,E02002408,18,0,1,17,0,0,0
E02002239,E02002409,2,0,0,2,0,0,0
E02002239,E02002410,7,0,0,7,0,0,0
E02002239,E02002411,18,0,0,17,1,0,0
E02002239,E02002412,22,0,1,21,0,0,0
E02002239,E02002414,13,0,0,11,0,0,1
E02002239,E02002415,1,0,0,1,0,0,0
E02002239,E02002416,3,0,0,3,0,0,0
