tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
madina,drive,degree,0.00685870469155,0.0828172970553255,0.1320858451201597,2.04,187,187,758.7,31402.9
madina,drive,btw_weighted_200,0.0006539344445342,0.0255721419621869,0.1054055734731394,13.01,187,187,743.4,4915.8
cityseer,drive,bs_dist400_plain_ll,0.008074767608030425,-0.0898597107052456,-0.07345696409736335,1.12,181,181,745.5,56398.6
cityseer,drive,bs_dist1600_plain_ll,0.012168118982274073,-0.11030919717899348,-0.05052630513809042,1.12,181,181,747.1,56410.0
cityseer,drive,bs_dist8000_plain_ll,0.0007395672618831545,-0.02719498596953404,0.03355906734834215,3.74,181,181,773.0,16980.6
cityseer,drive,bs_dist20000_plain_ll,0.00019166719892591217,-0.013844392327795147,0.031027464107456118,8.49,181,181,773.1,7476.6
cityseer,drive,bs_dist20000_dimimp_ll,0.0007147794184623532,-0.026735358955180553,0.019967922614908793,8.86,181,181,773.6,7161.1
cityseer,drive,bs_beta0.001_plain_ll,0.003740415146355526,-0.06115893349589679,0.014001411575426212,1.92,181,181,773.6,32979.9
cityseer,drive,bs_beta0.002_plain_ll,0.011774898468725564,-0.10851220423862735,-0.04262553028942902,1.12,181,181,773.6,56564.6
cityseer,drive,bs_beta0.004_plain_ll,0.012464295566567841,-0.11164360960918389,-0.06738931907929717,0.82,181,181,773.6,77238.9
cityseer,drive,seg_dist800_plain_ll,0.01564346170702253,-0.12507382502755132,-0.08499201878054125,2.25,181,181,827.5,28180.1
cityseer,drive,seg_dist3200_plain_ll,0.008495852200889987,-0.09217294722905409,-0.008029283865795114,4.98,181,181,827.9,12745.2
cityseer,drive,seg_dist8000_plain_ll,0.0038682843818213003,-0.06219553345555696,0.028001811268827753,17.07,181,181,845.5,3716.2
cityseer,drive,seg_dist20000_plain_ll,0.001912698926918281,-0.04373441353120308,0.033622815915896664,64.91,181,181,849.2,977.4
cityseer,drive,seg_dist20000_dimimp_ll,0.002211852065985048,-0.04703033134037063,0.024960093902655082,56.45,181,181,849.4,1123.9
