tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec,efficiency_score
madina,drive,degree,0.00685870469155,0.0828172970553255,0.1320858451201597,2.04,187,187.0,758.7,31402.9,0.004930822278061788
madina,drive,btw_weighted_200,0.0006539344445342,0.0255721419621869,0.1054055734731394,13.01,187,187.0,743.4,4915.8,0.0001986224962607367
cityseer,drive,bs_dist400_plain_ll,0.0080747676080304,-0.0898597107052456,-0.0734569640973633,1.12,181,181.0,745.5,56398.6,0.00861241797751039
cityseer,drive,bs_dist1600_plain_ll,0.012168118982274,-0.1103091971789934,-0.0505263051380904,1.12,181,181.0,747.1,56410.0,0.012974122067467496
cityseer,drive,bs_dist8000_plain_ll,0.0007395672618831,-0.027194985969534,0.0335590673483421,3.74,181,181.0,773.0,16980.6,0.0003788478351492222
cityseer,drive,bs_dist20000_plain_ll,0.0001916671989259,-0.0138443923277951,0.0310274641074561,8.49,181,181.0,773.1,7476.6,6.78918866607126e-05
cityseer,drive,bs_dist20000_dimimp_ll,0.0007147794184623,-0.0267353589551805,0.0199679226149087,8.86,181,181.0,773.6,7161.1,0.0002489317227393883
cityseer,drive,bs_beta0.001_plain_ll,0.0037404151463555,-0.0611589334958967,0.0140014115754262,1.92,181,181.0,773.6,32979.9,0.0027819558908906837
cityseer,drive,bs_beta0.002_plain_ll,0.0117748984687255,-0.1085122042386273,-0.042625530289429,1.12,181,181.0,773.6,56564.6,0.012489158556460794
cityseer,drive,bs_beta0.004_plain_ll,0.0124642955665678,-0.1116436096091838,-0.0673893190792971,0.82,181,181.0,773.6,77238.9,0.016588838247531868
cityseer,drive,seg_dist800_plain_ll,0.0156434617070225,-0.1250738250275513,-0.0849920187805412,2.25,181,181.0,827.5,28180.1,0.010472081890625111
cityseer,drive,seg_dist3200_plain_ll,0.0084958522008899,-0.092172947229054,-0.0080292838657951,4.98,181,181.0,827.9,12745.2,0.0037479428960545003
cityseer,drive,seg_dist8000_plain_ll,0.0038682843818213,-0.0621955334555569,0.0280018112688277,17.07,181,181.0,845.5,3716.2,0.0010511914914424383
