tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
cityseer_od,drive,od_plain_centroid_tol0.0_r20000,0.0728108127390483,0.26983478785925324,0.23754900002803128,0.05,187,187,768.9,1276922.8
cityseer_od,drive,od_plain_centroid_tol0.03_r20000,0.074003370368373,0.2720356049644475,0.2433050578259387,0.06,187,187,771.4,1071710.3
cityseer_od,drive,od_plain_centroid_tol0.05_r20000,0.07415868834203579,0.2723209289460431,0.24282527375137014,0.06,187,187,772.7,1010136.4
cityseer_od,drive,od_plain_k3_tol0.0_r20000,0.024508822824474176,0.15655293936708495,0.18456354842833197,0.09,187,187,773.1,707161.5
cityseer_od,drive,od_plain_k3_tol0.03_r20000,0.02383659188958336,0.15439103565163156,0.18827497501554305,0.14,187,187,773.9,442097.3
cityseer_od,drive,od_plain_k3_tol0.05_r20000,0.024292219319523564,0.15585961413888963,0.1874821628509977,0.15,187,187,774.2,411309.6
cityseer_od,drive,od_plain_k5_tol0.0_r20000,0.023419563433589027,0.15303451713123103,0.19179828335527208,0.15,187,187,774.8,414977.3
cityseer_od,drive,od_plain_k5_tol0.03_r20000,0.023709511016654566,0.15397893043093458,0.1969436250785462,0.22,187,187,774.9,291459.1
cityseer_od,drive,od_plain_k5_tol0.05_r20000,0.024131722797604564,0.15534388561383597,0.1967250651409879,0.23,187,187,775.0,270904.3
cityseer_od,drive,od_plain_k10_tol0.0_r20000,0.03674373670604138,0.1916865584907855,0.22819756445969117,0.27,187,187,775.9,234098.0
cityseer_od,drive,od_plain_k10_tol0.03_r20000,0.03760695518581051,0.19392512778340645,0.23356829039191132,0.41,187,187,776.0,155068.8
cityseer_od,drive,od_plain_k10_tol0.05_r20000,0.03801484576405831,0.19497396175914952,0.23261182202387617,0.43,187,187,776.0,148282.4
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.0_r20000,0.17190726176714774,0.4146170061239019,0.45738628283228366,0.05,187,187,775.0,1156731.9
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r20000,0.17259182068166828,0.41544171755093184,0.4564848291749214,0.06,187,187,775.0,1048555.3
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.05_r20000,0.1648762412554867,0.40604955517213265,0.4525253081617524,0.07,187,187,775.0,970449.6
cityseer_od,drive,od_dimensionless_imp_k3_tol0.0_r20000,0.0708172331766648,0.26611507506465093,0.3848034619810898,0.13,187,187,775.0,500543.1
cityseer_od,drive,od_dimensionless_imp_k3_tol0.03_r20000,0.07197651639520708,0.268284394617367,0.381922757458117,0.21,187,187,775.0,304376.7
cityseer_od,drive,od_dimensionless_imp_k3_tol0.05_r20000,0.07287411095284282,0.2699520530628408,0.3842895323212539,0.17,187,187,775.0,378564.8
cityseer_od,drive,od_dimensionless_imp_k5_tol0.0_r20000,0.0878485673078585,0.29639258983290817,0.4131964228771552,0.16,187,187,775.2,389049.3
cityseer_od,drive,od_dimensionless_imp_k5_tol0.03_r20000,0.08893429917775715,0.29821854264575365,0.40700734628826024,0.25,187,187,775.2,250010.8
cityseer_od,drive,od_dimensionless_imp_k5_tol0.05_r20000,0.08960083172654634,0.2993339802403767,0.4084519161257677,0.24,187,187,775.3,266056.7
cityseer_od,drive,od_dimensionless_imp_k10_tol0.0_r20000,0.10522402314337807,0.3243825259525828,0.4473277042850977,0.28,187,187,776.1,230115.4
cityseer_od,drive,od_dimensionless_imp_k10_tol0.03_r20000,0.10598824701549171,0.32555836191916765,0.4439712496435708,0.42,187,187,776.1,149814.6
cityseer_od,drive,od_dimensionless_imp_k10_tol0.05_r20000,0.10687560924218635,0.3269183525625111,0.4424430378473393,0.45,187,187,776.2,141519.3
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r3000,0.12106104192275603,0.34793827315021847,0.3673962442117374,0.03,187,187,775.1,2168927.7
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r5000,0.18029548150607577,0.4246121542137904,0.44987291753061587,0.04,187,187,775.1,1585934.7
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r8000,0.17166170149621693,0.4143207712584742,0.454469760619153,0.06,187,187,775.1,1078101.7
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r12000,0.17259182068166828,0.41544171755093184,0.4564848291749214,0.06,187,187,775.1,1049957.9
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r30000,0.17259182068166828,0.41544171755093184,0.4564848291749214,0.06,187,187,775.1,1014360.5
cityseer_od,drive,od_dimensionless_imp_centroid_tol0.03_r40000,0.17259182068166828,0.41544171755093184,0.4564848291749214,0.06,187,187,775.1,1065483.7
