tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,peak_memory_mb,segments_per_sec
sdna,drive,MAD_angular_200m,0.023308019691858327,-0.15266964233880398,-0.005856268175387625,88.51,187,400.0,722.4
sdna,drive,NQPDA_angular_200m,0.017274632297886804,-0.13143299546874362,-0.03883562859899015,88.51,187,400.0,722.4
sdna,drive,MAD_angular_400m,0.01414990044735116,-0.11895335408197265,-0.0012690722166344543,88.51,187,400.0,722.4
sdna,drive,NQPDA_angular_400m,0.01597544457090211,-0.12639400528071776,-0.015908825032387226,88.51,187,400.0,722.4
sdna,drive,MAD_angular_800m,0.0020706938512263084,-0.04550487722460427,0.0707551347852732,88.51,187,400.0,722.4
sdna,drive,NQPDA_angular_800m,0.0057907482761579395,-0.07609696627433933,0.06272410077226907,88.51,187,400.0,722.4
sdna,drive,MED_euclidean_200m,0.11225834262566409,0.3350497614171127,0.25317193238434466,93.23,187,400.0,685.9
sdna,drive,NQPDE_euclidean_200m,0.01174551673784077,-0.1083767352241281,-0.09620377443331825,93.23,187,400.0,685.9
sdna,drive,BtE_euclidean_200m,0.01604680334634654,-0.12667597777931905,-0.06774693438457755,93.23,187,400.0,685.9
sdna,drive,MCF_euclidean_200m,0.12331051025407384,0.3511559628627625,0.2289351804063802,93.23,187,400.0,685.9
sdna,drive,DivE_euclidean_200m,,,-0.28457725370699843,93.23,187,400.0,685.9
sdna,drive,MED_euclidean_400m,0.07353703683479147,0.27117713184336073,0.22747715818736808,93.23,187,400.0,685.9
sdna,drive,NQPDE_euclidean_400m,0.014669179522020416,-0.12111638832965757,-0.06394652389249358,93.23,187,400.0,685.9
sdna,drive,BtE_euclidean_400m,0.010924273367251843,-0.10451924878821048,-0.07461924404644385,93.23,187,400.0,685.9
sdna,drive,MCF_euclidean_400m,0.09927972606663504,0.31508685479822074,0.21246384192086337,93.23,187,400.0,685.9
sdna,drive,DivE_euclidean_400m,,,-0.31671494666802635,93.23,187,400.0,685.9
sdna,drive,MED_euclidean_800m,0.018048838499438464,0.1343459656984104,0.17905045041342119,93.23,187,400.0,685.9
sdna,drive,NQPDE_euclidean_800m,0.012245436024208823,-0.11065909824415174,-0.011535717644694857,93.23,187,400.0,685.9
sdna,drive,BtE_euclidean_800m,0.007320235681811158,-0.0855583758717471,-0.031553629838002376,93.23,187,400.0,685.9
sdna,drive,MCF_euclidean_800m,0.025341263049905225,0.159189393647646,0.1907228863152795,93.23,187,400.0,685.9
sdna,drive,DivE_euclidean_800m,,,-0.26049000120190036,93.23,187,400.0,685.9
