tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
aequilibrae,cycle,aon,0.013712924539386462,0.11710219698787244,0.12036613498119991,0.1,23,23,293.5,183458.0
aequilibrae,cycle,ue_bfw,9.565856004305201e-05,0.009780519415810845,0.01680257031774874,0.7,23,23,301.7,25142.5
aequilibrae,cycle,ue_fw,0.0010398419220050976,-0.0322465800047865,-0.07715137305240373,0.55,23,23,311.3,31983.0
aequilibrae,cycle,ue_msa,0.00722232879462387,-0.08498428557459237,-0.19767729785586755,0.65,23,23,322.8,27445.0
aequilibrae,cycle,ue_bfw_tight,1.1775957043405347e-09,-3.4316114353755145e-05,-0.06523350829243628,1.82,23,23,325.1,9736.2
aequilibrae,cycle,ue_bfw_a05,0.0031385306531280673,0.05602259056066633,0.17889795455956012,0.83,23,23,336.3,21341.3
aequilibrae,cycle,ue_bfw_iter100,3.498004389803192e-06,-0.001870295268080191,-0.026686435210542116,3.51,23,23,348.7,5054.3
aequilibrae,cycle,ue_bfw_cap05,2.3807434017169403e-05,-0.004879286220049933,-0.024709662231983443,1.5,23,23,361.0,11778.1
aequilibrae,cycle,ue_bfw_cap2,3.750631728991377e-05,-0.006124240139798065,-0.059303189356760266,1.53,23,23,373.2,11551.3
aequilibrae,cycle,ue_bfw_bpr_a0.15_b1,6.664864598273778e-05,0.008163862197681837,0.007907091914234702,1.9,23,23,374.5,9313.8
aequilibrae,cycle,ue_bfw_bpr_a0.3_b2,4.946419274764574e-05,0.007033078468753673,0.029651594678380133,1.38,23,23,374.5,12870.9
aequilibrae,cycle,ue_bfw_bpr_a0.1_b6,0.00018542642401195826,-0.01361713714449403,-0.08500123807802304,1.49,23,23,374.5,11880.9
aequilibrae,cycle,ue_bfw_d10,0.00047330250833743366,-0.021755516733404257,-0.11366444626712384,1.42,23,23,374.5,12522.9
aequilibrae,cycle,route_choice_lp,0.013005094070508342,0.11403987929890293,0.03674325332749939,1.76,23,23,437.6,10056.6
aequilibrae,cycle,route_choice_lp10,0.013658900057888739,0.1168712969804338,0.044081363504824195,3.46,23,23,525.6,5119.3
aequilibrae,drive,aon,0.05077668798953406,0.22533683229675106,0.1292712370678682,0.06,23,23,526.9,79313.8
aequilibrae,drive,ue_bfw,0.007806881511919054,-0.08835655896377503,0.11363636363636365,1.13,23,23,526.9,4214.8
aequilibrae,drive,ue_fw,0.01506050426785899,-0.12272124619583602,0.13886830174374695,1.0,23,23,526.9,4759.4
aequilibrae,drive,ue_msa,0.010917785447860736,-0.10448820721909595,0.001976284584980237,0.89,23,23,526.9,5337.5
aequilibrae,drive,ue_bfw_tight,0.0025778832019789934,-0.050772858910829465,0.09486166007905138,2.78,23,23,526.9,1714.8
aequilibrae,drive,ue_bfw_a05,0.007894308229489142,-0.08884991969320587,0.09288537549407114,0.94,23,23,526.9,5042.2
aequilibrae,drive,ue_bfw_iter100,9.542900538860936e-05,0.009768777067197752,0.1442687747035573,4.84,23,23,526.9,983.4
aequilibrae,drive,ue_bfw_cap05,0.0016556273382907528,-0.04068940081017107,0.15711462450592886,1.93,23,23,526.9,2465.9
aequilibrae,drive,ue_bfw_cap2,0.0025718464199048245,-0.05071337515788937,0.14624505928853757,1.99,23,23,526.9,2392.0
aequilibrae,drive,ue_bfw_bpr_a0.15_b1,0.002879311517425553,-0.053659216518931324,0.18927601269699318,1.97,23,23,526.9,2418.0
aequilibrae,drive,ue_bfw_bpr_a0.3_b2,0.004646261408111466,-0.0681634902870405,0.16851989642212706,1.93,23,23,526.9,2469.0
aequilibrae,drive,ue_bfw_bpr_a0.1_b6,0.002342394955307249,-0.048398294962810895,0.10177865612648221,1.93,23,23,526.9,2467.2
aequilibrae,drive,ue_bfw_d10,4.65934127056845e-06,0.0021585507338416745,0.1432806324110672,2.0,23,23,526.9,2379.8
aequilibrae,drive,route_choice_lp,0.0266880856827396,0.16336488509694969,0.0899209486166008,1.09,23,23,526.9,4387.0
aequilibrae,drive,route_choice_lp10,0.02797948130024119,0.1672706827278503,0.0899209486166008,2.41,23,23,519.0,1974.4
