tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
cityseer_od,drive,od_wt_centroid_tol0.0_r20000,0.01335790942229778,-0.11557642243250907,-0.20178051413705594,0.11,23,23,426.4,53110.2
cityseer_od,drive,od_wt_centroid_tol0.03_r20000,0.01335389793270244,-0.1155590668563157,-0.20178051413705594,0.11,23,23,426.4,53194.8
cityseer_od,drive,od_wt_centroid_tol0.05_r20000,0.013350061250692378,-0.11554246514027812,-0.20178051413705594,0.11,23,23,426.4,52421.9
cityseer_od,drive,od_wt_k1_tol0.0_r20000,0.06468371284132719,-0.2543299291104514,-0.10427477461897014,0.1,23,23,426.4,54972.3
cityseer_od,drive,od_wt_k1_tol0.03_r20000,0.06470135673383563,-0.25436461376110403,-0.10427477461897014,0.11,23,23,426.4,51497.5
cityseer_od,drive,od_wt_k1_tol0.05_r20000,0.06454808348345313,-0.25406314861359397,-0.10427477461897014,0.11,23,23,426.4,52660.7
cityseer_od,drive,od_wt_k3_tol0.0_r20000,0.02852367087352742,-0.16888952268725088,-0.16205533596837948,0.11,23,23,426.4,54900.2
cityseer_od,drive,od_wt_k3_tol0.03_r20000,0.028482184417010323,-0.1687666567098202,-0.16205533596837948,0.11,23,23,426.4,50794.2
cityseer_od,drive,od_wt_k3_tol0.05_r20000,0.0283570802782555,-0.1683956064695737,-0.16205533596837948,0.11,23,23,426.4,50876.9
cityseer_od,drive,od_wt_k1_tol0.03_r3000,0.06499597099187494,-0.25494307402217253,-0.1141586395117635,0.11,23,23,426.4,52927.6
cityseer_od,drive,od_wt_k1_tol0.03_r5000,0.06272422389203917,-0.25044804629311695,-0.08747220430122138,0.11,23,23,426.4,52081.4
cityseer_od,drive,od_wt_k1_tol0.03_r8000,0.06470164630581528,-0.25436518296696037,-0.10427477461897014,0.11,23,23,426.4,51870.1
cityseer_od,drive,od_wt_k1_tol0.03_r12000,0.06470135673383563,-0.25436461376110403,-0.10427477461897014,0.11,23,23,426.4,54518.5
cityseer_od,drive,od_wt_k1_tol0.03_r30000,0.06470135673383563,-0.25436461376110403,-0.10427477461897014,0.11,23,23,426.4,51719.0
cityseer_od,drive,od_wt_k1_tol0.03_r40000,0.06470135673383563,-0.25436461376110403,-0.10427477461897014,0.11,23,23,426.4,52645.5
