tool,mode,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,n_obs,peak_memory_mb,segments_per_sec
flownet,cycle,aon,0.36846596071767107,0.6070139707763496,0.18944582983997552,1.38,23,23,401.0,12883.5
flownet,cycle,aon_imp,0.4961904984936416,0.704407906325335,0.16890782503907828,1.78,23,23,400.4,9982.9
flownet,cycle,psl_beta0.001_detour1.25,0.3647473705373008,0.6039431848587256,0.2221939968627995,18.88,23,23,400.1,938.6
flownet,cycle,psl_beta0.001_detour1.5,0.3647473730644434,0.6039431869509279,0.2221939968627995,21.0,23,23,400.0,843.8
flownet,cycle,psl_beta0.004_detour1.5,0.3647410012178106,0.603937911724219,0.2221939968627995,21.55,23,23,400.0,822.4
flownet,cycle,psl_imp_beta0.001_detour1.5,0.4942597825398754,0.7030361175216218,0.21037907070627115,22.15,23,23,400.0,800.1
flownet,cycle,psl_imp_km_beta0.01_detour1.5,0.5055008837056921,0.710985853379441,0.21037907070627115,22.37,23,23,400.0,792.3
flownet,cycle,psl_imp_km_beta0.05_detour2.0,0.5055830500223641,0.7110436344011274,0.2072390845763268,26.39,23,23,400.0,671.5
flownet,cycle,psl_km_beta0.01_detour1.5,0.3620057697347966,0.6016691530524034,0.24797056262414519,21.29,23,23,400.0,832.2
flownet,drive,aon_ll,0.02502021802260955,-0.1581778050884812,-0.22515600965632498,1.18,23,23,399.2,4037.4
flownet,drive,aon_imp_ll,0.002747353507922628,0.05241520302281226,-0.059090717466365836,1.61,23,23,400.3,2954.8
flownet,drive,psl_beta0.001_detour1.25_ll,0.021522004624163815,-0.14670379894250807,-0.27209868680364413,5.18,23,23,400.0,920.2
flownet,drive,psl_beta0.001_detour1.5_ll,0.02152177364596324,-0.14670301171401778,-0.27209868680364413,5.9,23,23,400.0,806.8
flownet,drive,psl_beta0.004_detour1.5_ll,0.021520960114041733,-0.1467002389706361,-0.27209868680364413,5.86,23,23,400.0,813.2
flownet,drive,psl_imp_beta0.001_detour1.5_ll,0.002756631113788127,0.0525036295296633,-0.1866954493397266,5.46,23,23,400.0,872.4
flownet,drive,psl_imp_km_beta0.01_detour1.5_ll,0.15616218468203147,-0.39517361334232765,-0.3287031581460081,5.85,23,23,400.0,814.5
flownet,drive,psl_imp_km_beta0.05_detour2.0_ll,0.1564790496684247,-0.3955743288794467,-0.33366846264972416,6.89,23,23,400.0,691.2
flownet,drive,psl_km_beta0.01_detour1.5_ll,0.16490318427719347,-0.4060827308285758,-0.40516884750323656,5.97,23,23,400.0,797.3
