tool,variant,r_squared,pearson_r,spearman_r,compute_time_s,n_matched,peak_memory_mb,segments_per_sec
sdna,MAD_angular_200m,0.26392961914033874,0.5137408093001165,0.45454545454545453,4.28,22,400.0,4466.6
sdna,NQPDA_angular_200m,0.0198578152090174,0.1409177604456493,0.4771315640880858,4.28,22,400.0,4466.6
sdna,BtA_angular_200m,0.007334303747133182,-0.0856405496662252,0.26165592899336365,4.28,22,400.0,4466.6
sdna,MCF_angular_200m,0.00046292300297328315,0.02151564553931124,0.2377188029361943,4.28,22,400.0,4466.6
sdna,DivA_angular_200m,,,0.29236564320829667,4.28,22,400.0,4466.6
sdna,MAD_angular_400m,0.3532900610823759,0.5943820834129978,0.6047430830039526,11.5,22,400.0,1662.1
sdna,NQPDA_angular_400m,0.01913270782380833,0.13832103174791718,0.4692264257481649,11.5,22,400.0,1662.1
sdna,BtA_angular_400m,0.0037589866608502952,-0.0613105754405412,0.24901185770750994,11.5,22,400.0,1662.1
sdna,MCF_angular_400m,0.03764566673849383,0.19402491267487743,0.1609260304912479,11.5,22,400.0,1662.1
sdna,DivA_angular_400m,,,,11.5,22,400.0,1662.1
sdna,MAD_angular_800m,0.4675535258272208,0.6837788573999785,0.45454545454545453,59.84,22,400.0,319.5
sdna,NQPDA_angular_800m,0.06368757989448809,0.2523639829581235,0.4714850367024281,59.84,22,400.0,319.5
sdna,BtA_angular_800m,0.0015478747709625812,-0.039343039676194076,0.2207792207792208,59.84,22,400.0,319.5
sdna,MCF_angular_800m,0.020544364346225072,0.1433330539206679,-0.04347826086956522,59.84,22,400.0,319.5
sdna,DivA_angular_800m,,,,59.84,22,400.0,319.5
sdna,MCF_euclidean_200m,0.005412704375471506,-0.07357108382694598,0.05815923207227556,4.25,22,400.0,4497.0
sdna,MCF_euclidean_400m,0.02765167941978787,0.1662879412939732,-0.016374929418407683,11.09,22,400.0,1723.4
sdna,MCF_euclidean_800m,0.02033766438927438,0.14261018332950273,-0.08865047995482779,52.43,22,400.0,364.6
